"player_id","_c1"
"andreer01","0"
"andrefr01","3"
"andrehu01","0"
"andreiv01","5"
"andreji01","32"
"andrejo01","0"
"andrejo02","0"
"andreki01","0"
"andremi01","91"
"andrena01","4"
"andrero01","60"
"andresh01","48"
"andrest01","5"
"andrewa01","12"
"andrubi01","0"
"andruel01","96"
"andrufr01","6"
"andruwi01","0"
"andujjo01","8"
"andujlu01","0"
"angelno01","0"
"anglema01","12"
"angleto01","1"
"ankenpa01","1"
"ankieri01","65"
"annisbi01","17"
"ansonca01","117"
"anthoer01","70"
"antoljo01","1"
"antonbi01","9"
"antonjo01","50"
"antonjo02","9"
"antonma01","6"
"aparilu01","98"
"apodabo01","2"
"apontlu01","NULL"
"appieke01","4"
"appleed01","3"
"applefr01","0"
"applepe01","7"
"applilu01","111"
"aquingr01","0"
"aquinlu01","1"
"aragoan01","2"
"aragoja01","0"
"archdma01","59"
"archefr01","1"
"archeji01","41"
"archeji02","2"
"archige01","45"
"arciajo01","35"
"ardelda01","1"
"ardizru01","0"
"ardnejo01","28"
"ardoida01","28"
"arellfr01","5"
"arencjp01","47"
"arftha01","45"
"ariasal01","43"
"ariasal02","0"
"ariasge01","20"
"ariasjo01","18"
"ariasru01","0"
"arletbu01","65"
"arlicdo01","0"
"arlinst01","6"
"armasma01","7"
"armasto01","107"
"armasto02","2"
"armbrch01","13"
"armbred01","20"
"armbrha01","40"
"armbror01","0"
"armstbo01","9"
"armstge01","0"
"armstho01","0"
"armstja01","3"
"armstmi01","0"
"arndtha01","41"
"arndtla01","1"
"arnolbi01","2"
"arnolch01","22"
"arnolja01","1"
"arnolsc01","0"
"arnolto01","NULL"
"arnovmo01","68"
"arnsbbr01","0"
"arntzor01","3"
"arochre01","3"
"arredjo01","0"
"arrieja01","0"
"arrigge01","3"
"arrojro01","2"
"arroybr01","5"
"arroyfe01","NULL"
"arroylu01","2"
"arroyru01","0"
"arundha01","8"
"arundtu01","13"
"asadora01","9"
"asbelji01","6"
"asbjoca01","13"
"ascanjo01","0"
"asencmi01","0"
"ashburi01","111"
"ashbyal01","53"
"ashbyan01","6"
"ashfotu01","25"
"ashke01","2"
"ashlebi01","18"
"asmusto01","0"
"asprobo01","59"
"asproke01","65"
"asselbr01","18"
"assenpa01","1"
"astacez01","0"
"astacpe01","5"
"astrojo01","30"
"atchisc01","0"
"atchlju01","0"
"atherch01","28"
"atherke01","0"
"atilalu01","0"
"atkinal01","27"
"atkinbi01","0"
"atkined01","2"
"atkinga01","117"
"atkinja01","0"
"atkinle01","1"
"atkinmi01","0"
"atkinto01","0"
"attredi01","17"
"atwelto01","36"
"atwoobi01","27"
"atzja01","39"
"aubreha01","26"
"aubremi01","12"
"aucoide01","0"
"auderi01","10"
"auerbri01","50"
"augenbr01","1"
"augusda01","3"
"augusdo01","NULL"
"augusje01","NULL"
"aukerel01","14"
"auldsle01","0"
"aultdo01","44"
"aurilri01","114"
"ausanjo01","NULL"
"ausmubr01","75"
"austde01","0"
"austihe01","10"
"austije01","0"
"austiji01","84"
"austiji02","NULL"
"austiri01","0"
"autryal01","0"
"autrych01","16"
"autrych02","7"
"avenbr01","57"
"averiea01","140"
"averiea02","56"
"averyst01","8"
"avilaal01","63"
"avilabo01","112"
"avilemi01","68"
"avilera01","12"
"avreaja01","0"
"axforjo01","0"
"ayalabe01","28"
"ayalabo01","1"
"ayalalu01","0"
"aybarer01","71"
"aybarma01","4"
"aybarwi01","38"
"aydelja01","1"
"ayersbi01","0"
"ayersdo01","6"
"aylwadi01","0"
"ayraubo01","0"
"ayraujo01","0"
"azcuejo01","33"
"azocaos01","18"
"babbch01","68"
"babcobo01","NULL"
"babelo01","34"
"babicjo01","4"
"babinch01","5"
"babitsh01","10"
"backebr01","8"
"backmle01","2"
"backmwa01","77"
"baconed01","1"
"bacsimi01","NULL"
"bacsimi02","1"
"baczefr01","4"
"badenbu01","1"
"baderar01","0"
"baderlo01","1"
"badgrre01","30"
"baeched01","3"
"baekch01","2"
"baergca01","105"
"baezbe01","0"
"baezda01","1"
"baezjo01","39"
"baezke01","10"
